 X,Z, RADIATION LOSS, INTEGRATED INTENSITY, TEMPERATURE, TEMPERATURE, U-VELOCITY, V-VELOCITY, W-VELOCITY
 m,m, kW/m3, kW/m2, C, C, m/s, m/s, m/s
-0.10000E+01, 0.00000E+00, 0.00000E+00, 0.16751E+01, 0.20000E+02, 0.20114E+02, 0.19772E+00, 0.14209E+00, 0.00000E+00
-0.95000E+00, 0.00000E+00, 0.00000E+00, 0.16751E+01, 0.20000E+02, 0.20202E+02, 0.16315E+00, 0.88795E-01, 0.00000E+00
-0.90000E+00, 0.00000E+00, 0.00000E+00, 0.16751E+01, 0.20000E+02, 0.20367E+02, 0.16831E+00, 0.67334E-01, 0.00000E+00
-0.85000E+00, 0.00000E+00, 0.00000E+00, 0.16751E+01, 0.20000E+02, 0.20505E+02, 0.20437E+00, 0.36732E-01, 0.00000E+00
-0.80000E+00, 0.00000E+00, 0.00000E+00, 0.16751E+01, 0.20000E+02, 0.20623E+02, 0.24275E+00,-0.33910E-01, 0.00000E+00
-0.75000E+00, 0.00000E+00, 0.00000E+00, 0.16751E+01, 0.20000E+02, 0.20741E+02, 0.25211E+00,-0.42966E-01, 0.00000E+00
-0.70000E+00, 0.00000E+00, 0.00000E+00, 0.16751E+01, 0.20000E+02, 0.20880E+02, 0.30956E+00,-0.42095E-01, 0.00000E+00
-0.65000E+00, 0.00000E+00, 0.00000E+00, 0.16751E+01, 0.20000E+02, 0.21038E+02, 0.30688E+00,-0.29585E-01, 0.00000E+00
-0.60000E+00, 0.00000E+00, 0.00000E+00, 0.16751E+01, 0.20000E+02, 0.21201E+02, 0.35885E+00,-0.24828E-01, 0.00000E+00
-0.55000E+00, 0.00000E+00, 0.00000E+00, 0.16751E+01, 0.20000E+02, 0.21367E+02, 0.33608E+00,-0.22042E-01, 0.00000E+00
-0.50000E+00, 0.00000E+00, 0.00000E+00, 0.16751E+01, 0.20000E+02, 0.21549E+02, 0.35574E+00,-0.31883E-01, 0.00000E+00
-0.45000E+00, 0.00000E+00, 0.00000E+00, 0.16751E+01, 0.20000E+02, 0.21780E+02, 0.30010E+00, 0.13112E-01, 0.00000E+00
-0.40000E+00, 0.00000E+00, 0.00000E+00, 0.16751E+01, 0.20000E+02, 0.22036E+02, 0.29740E+00,-0.14694E-01, 0.00000E+00
-0.35000E+00, 0.00000E+00, 0.00000E+00, 0.16751E+01, 0.20000E+02, 0.22365E+02, 0.28762E+00,-0.12243E-01, 0.00000E+00
-0.30000E+00, 0.00000E+00, 0.00000E+00, 0.16751E+01, 0.20000E+02, 0.22800E+02, 0.28764E+00, 0.54069E-01, 0.00000E+00
-0.25000E+00, 0.00000E+00, 0.00000E+00, 0.16751E+01, 0.20000E+02, 0.23247E+02, 0.28529E+00, 0.39916E-02, 0.00000E+00
-0.20000E+00, 0.00000E+00, 0.00000E+00, 0.16751E+01, 0.20000E+02, 0.23743E+02, 0.29063E+00,-0.11875E-01, 0.00000E+00
-0.15000E+00, 0.00000E+00, 0.00000E+00, 0.16751E+01, 0.20000E+02, 0.24110E+02, 0.31386E+00, 0.28220E-01, 0.00000E+00
-0.10000E+00, 0.00000E+00, 0.00000E+00, 0.16751E+01, 0.20000E+02, 0.24171E+02, 0.17853E+00, 0.60229E-01, 0.00000E+00
-0.50000E-01, 0.00000E+00, 0.00000E+00, 0.16751E+01, 0.20000E+02, 0.23975E+02, 0.14990E+00,-0.32390E-02, 0.00000E+00
 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.16751E+01, 0.20000E+02, 0.23802E+02,-0.13235E-01, 0.26422E-02, 0.00000E+00
 0.50000E-01, 0.00000E+00, 0.00000E+00, 0.16751E+01, 0.20000E+02, 0.23742E+02,-0.48441E-01, 0.65327E-01, 0.00000E+00
 0.10000E+00, 0.00000E+00, 0.00000E+00, 0.16751E+01, 0.20000E+02, 0.23728E+02,-0.19954E+00, 0.17506E-01, 0.00000E+00
 0.15000E+00, 0.00000E+00, 0.00000E+00, 0.16751E+01, 0.20000E+02, 0.23558E+02,-0.20581E+00,-0.14484E-01, 0.00000E+00
 0.20000E+00, 0.00000E+00, 0.00000E+00, 0.16751E+01, 0.20000E+02, 0.23212E+02,-0.26926E+00,-0.40610E-01, 0.00000E+00
 0.25000E+00, 0.00000E+00, 0.00000E+00, 0.16751E+01, 0.20000E+02, 0.22885E+02,-0.27058E+00,-0.57884E-01, 0.00000E+00
 0.30000E+00, 0.00000E+00, 0.00000E+00, 0.16751E+01, 0.20000E+02, 0.22520E+02,-0.29538E+00,-0.51770E-01, 0.00000E+00
 0.35000E+00, 0.00000E+00, 0.00000E+00, 0.16751E+01, 0.20000E+02, 0.22200E+02,-0.26320E+00,-0.44539E-01, 0.00000E+00
 0.40000E+00, 0.00000E+00, 0.00000E+00, 0.16751E+01, 0.20000E+02, 0.21899E+02,-0.31739E+00,-0.42151E-01, 0.00000E+00
 0.45000E+00, 0.00000E+00, 0.00000E+00, 0.16751E+01, 0.20000E+02, 0.21644E+02,-0.33873E+00,-0.35531E-01, 0.00000E+00
 0.50000E+00, 0.00000E+00, 0.00000E+00, 0.16751E+01, 0.20000E+02, 0.21434E+02,-0.35236E+00,-0.23627E-01, 0.00000E+00
 0.55000E+00, 0.00000E+00, 0.00000E+00, 0.16751E+01, 0.20000E+02, 0.21233E+02,-0.34420E+00,-0.39873E-01, 0.00000E+00
 0.60000E+00, 0.00000E+00, 0.00000E+00, 0.16751E+01, 0.20000E+02, 0.21063E+02,-0.33735E+00,-0.43370E-01, 0.00000E+00
 0.65000E+00, 0.00000E+00, 0.00000E+00, 0.16751E+01, 0.20000E+02, 0.20922E+02,-0.32269E+00,-0.63542E-01, 0.00000E+00
 0.70000E+00, 0.00000E+00, 0.00000E+00, 0.16751E+01, 0.20000E+02, 0.20804E+02,-0.29109E+00,-0.64917E-01, 0.00000E+00
 0.75000E+00, 0.00000E+00, 0.00000E+00, 0.16751E+01, 0.20000E+02, 0.20686E+02,-0.25061E+00,-0.70922E-01, 0.00000E+00
 0.80000E+00, 0.00000E+00, 0.00000E+00, 0.16751E+01, 0.20000E+02, 0.20568E+02,-0.22057E+00,-0.70112E-01, 0.00000E+00
 0.85000E+00, 0.00000E+00, 0.00000E+00, 0.16751E+01, 0.20000E+02, 0.20457E+02,-0.16335E+00,-0.82973E-01, 0.00000E+00
 0.90000E+00, 0.00000E+00, 0.00000E+00, 0.16751E+01, 0.20000E+02, 0.20324E+02,-0.15674E+00,-0.10100E+00, 0.00000E+00
 0.95000E+00, 0.00000E+00, 0.00000E+00, 0.16751E+01, 0.20000E+02, 0.20169E+02,-0.10730E+00,-0.12429E+00, 0.00000E+00
 0.10000E+01, 0.00000E+00, 0.00000E+00, 0.16751E+01, 0.20000E+02, 0.20086E+02,-0.16517E+00,-0.16783E+00, 0.00000E+00
-0.10000E+01, 0.50000E-01, 0.00000E+00, 0.16751E+01, 0.20000E+02, 0.20100E+02, 0.18942E+00, 0.26916E-01, 0.46972E-02
-0.95000E+00, 0.50000E-01, 0.71703E+00, 0.82765E+01, 0.20087E+02, 0.20182E+02, 0.18374E+00, 0.19247E-01, 0.23849E-03
-0.90000E+00, 0.50000E-01, 0.71721E+00, 0.82823E+01, 0.20264E+02, 0.20330E+02, 0.17473E+00, 0.16053E-01,-0.42111E-02
-0.85000E+00, 0.50000E-01, 0.71208E+00, 0.82385E+01, 0.20416E+02, 0.20478E+02, 0.25011E+00,-0.26086E-01,-0.25805E-01
-0.80000E+00, 0.50000E-01, 0.73250E+00, 0.84292E+01, 0.20540E+02, 0.20640E+02, 0.22113E+00,-0.52136E-01,-0.27673E-01
-0.75000E+00, 0.50000E-01, 0.79826E+00, 0.90374E+01, 0.20668E+02, 0.20836E+02, 0.28037E+00,-0.43835E-01,-0.34997E-01
